SLIC,Facility Latitude,Facility Longitude
2174,39.62388571,-77.77865714
2176,39.6126,-77.7308
2178,39.6126,-77.7308
2179,39.6126,-77.7308
2188,39.2996,-76.5375
2189,38.404,-75.5778
218AM,0,0
2193,38.404,-75.5778
2198,39.6893,-75.6998
2199,39.3631,-77.4326
219AM,0,0
21HD,39.6126,-77.7308
2201,38.8907,-77.4632
2202,38.8907,-77.4632
2203,38.8907,-77.4632
2206,9.722675,-19.3658
2207,38.8907,-77.4632
2208,38.8907,-77.4632
2209,38.8907,-77.4632
2211,22.23405714,-44.20874286
2212,22.23405714,-44.20874286
2214,38.8034,-77.0911
2215,7.76068,-15.41822
2217,9.73625,-19.364175
2218,38.8907,-77.4632
2219,38.8937,-77.4318
2225,36.8842,-76.2181
2226,39.0934,-76.8994
2229,38.8034,-77.0911
2235,37.7757,-76.5148
2239,38.8034,-77.0911
224,38.2753,-77.4614
2241,37.7757,-76.5148
2249,38.945,-77.4567
224AM,0,0
2265,38.9102,-78.1817
2269,38.9102,-78.1817
226MK,12.97006667,-26.06056667
2289,38.0323,-78.4856
2293,38.0323,-78.4856
2298,38.0323,-78.4856
2299,38.03982,-78.49024
229CP,38.0699,-78.5088
2302,0,0
2304,36.8939,-76.1905
2309,37.5017,-77.3369
2315,37.62523333,-77.78046667
232,37.4029,-77.4163
2321,37.4029,-77.4163
2322,37.4029,-77.4163
2323,37.4029,-77.4163
2328,37.4029,-77.4163
2329,37.4029,-77.4163
232CP,37.4029,-77.4163
2332,36.8939,-76.1905
2333,37.4029,-77.4163
2336,36.8939,-76.1905
2337,37.4029,-77.4163
2338,37.4029,-77.4163
2341,36.8939,-76.1905
2348,37.0917,-76.4765
2349,36.8939,-76.1905
234CP,36.8939,-76.1905
234QR,0,0
234QV,0,0
234QW,0,0
235,36.8842,-76.2181
2358,36.8842,-76.2181
2359,7.37704,-15.23958
235AC,19.065,-38.76
235AS,19.065,-38.76
236,37.0917,-76.4765
2362,37.0917,-76.4765
2363,37.0917,-76.4765
2368,37.0917,-76.4765
2369,37.0917,-76.4765
2383,37.1039,-80.6898
2384Z,38.13,-77.52
2385Z,38.13,-77.52
2394,37.0403,-78.4836
2397,37.0403,-78.4836
2407,37.3173,-79.9796
2408,37.3173,-79.9796
2409,37.3173,-79.9796
240GO,0,0
241,37.3173,-79.9796
2412,37.3173,-79.9796
2413,37.3173,-79.9796
2418,37.3173,-79.9796
2419,37.3024,-79.8996
242,36.6164,-82.1254
2424,36.6357,-81.86
2428,37.3173,-79.9796
2429,36.6164,-82.1254
243,37.1039,-80.6898
2434,0,0
2437,36.5952,-79.428
2439,37.3711,-79.1794
243EB,0,0
244,38.0989,-78.9694
